"key","en","fr","sp","gm","du","ru","th","jp","po","cn","it","in","tk","ko"
"menuTitle_campaign","CAMPAIGN","CAMPAGNE","CAMPAÑA","KAMPAGNE","CAMPAGNE","Уровни","แคมเปญ","キャンペーン","CAMPANHA","挑战","CAMPAGNA","KAMPANYE","GOREVLER","캠페인"
"menuTitle_bonus","BONUS","BONUS","BONOS","PRAMIE","BONUS","Бонус","โบนัส","ボーナス","BONUS","奖金","BONUS","BONUS","BONUS","보너스"
"menuTitle_profile","PROFILE","PROFIL","PERFIL","STECKBRIEF","PROFIEL","Профиль","โปรไฟล์","プロフィール","PERFIL","简介","PROFILO","PROFIL","PROFIL","프로필"
"campaignMenu_footer","Unlock for","Déverrouillage pour","Abre con","Entsperren für","Ontgrendel voor","Разблокировать за","ปลดล็อกสำหรับ","ロックを解除して","Desbloqueia para","解锁","Apre con","Buka dengan","Kilidini ac","터놓다"
"campaignMenu_rate","Please Rate Us!","Évaluez nous, s'il vous plaît!","Por favor, evalúanos!","Bitte bewerte uns!","Beoordeel ons alsjeblieft!","Пожалуйста, оцените нас!","กรุณาให้คะแนนเรา!","レビューお願いします！","Avalie-nos, por favor!","亲，给个好评吧！","Per favore, votaci!","Silakan nilai kami!","Lütfen bizi derecelendiri!","우리를 평가해주세요!"
"bonusMenu_dailies","Dailies","Quotidiens","Diarios","Tagesrätsel","Dagelijks","ежедневно","รายวัน","デイリーズ","Diario","每日新挑战","Giornaliero","Harian","Gunluk","일일"
"bonusMenu_extras","Extra Fun","Extras","Extras","Extras","Extras","Больше","พิเศษ","余分な","Extras","额外","Extras","Lebih","Ekstras","특별한"
"bonusMenu_easy","Easy","Facile","Fácil","Einfach","Makkelijk","Легко","ง่าย","イージー","Fácil","容易","Facile","Mudah","Kolay","쉬움"
"bonusMenu_hard","Hard","Difficile","Difícil","Schwer","Moeilijk","Сложно","ยาก","ハード","Difícil","困难","Difficile","Sulit","Zor","어려움"
"profileMenu_campaign","Campaign:","Campagne:","Campaña:","Kampagne:","Campagne:","Уровни:","แคมเปญ:","キャンペーン:","Campanha:","挑战:","Campagna:","Kampanye:","Gorevler:","캠페인:"
"profileMenu_mystery","Mystery Flowers:","Fleurs Mystère:","Flores Misteriosas:","Mystery-Blumen:","Mysterieuze Bloemen:","Загадочные цветы:","ดอกไม้ลึกลับ:","謎の花:","Flores Mistério:","神秘花朵:","Fiori Misteriosi:","Bunga Misteri:","Gizemli Çiçekler:","신비한 꽃들:"
"profileMenu_solved","Puzzles Solved:","Puzzles Résolus:","Acertijos Resueltos:","Rätsel Gelöst:","Opgeloste Puzzels:","Решенные головоломки:","ปริศนาได้รับการไข:","パズル完成:","Puzzles Resolvidos:","谜题解决:","Enigmi Risolti:","Puzzle Dipecahkan:","Çözülen Bulmacalar:","퍼즐을 풀었습니다:"
"profileMenu_gold","Total Gold:","Total pièces d'or:","Total Monedas de Oro:","Gold Insegsamt:","Totaal Goud:","Количество золота:","ทองคำทั้งหมด:","ゴールドの合計枚数:","Total de Moedas de ouro:","全部金子:","Monete D’oro Totali:","Emas Total:","Toplam Altin:","총 골드:"
"profileMenu_played","Time Played:","Temps joué:","Tiempo Jugado:","Gespielte Zeit:","Speeltijd:","Время игры:","เวลาที่เล่นไป:","プレイ時間:","Tempo Jogado:","游戏时间:","Tempo Giocato:","Waktu Bermain:","Oynanan Süre:","플레이 시간:"
"settingsMenu_title","SETTINGS","PARAMÈTRES","CONFIGURACION","EINSTELLUNGEN","INSTELLINGEN","Настройки","การตั้งค่า","設定","AJUSTE","设置","IMPOSTAZIONI","PENGATURAN","AYARLAR","설정"
"settingsMenu_sound","Sound:","Son:","Sonido:","Ton:","Geluid:","Звук:","เสียง:","サウンド:","Som:","声音:","Suono:","Suara:","Ses:","사운드:"
"settingsMenu_on","On","Active","Activé","An","Aan","Включить","เปิด","オン","Ligado","开","Acceso","Nyala","Açik","켬"
"settingsMenu_off","Off","Desactivé","Apagado","Aus","Uit","Выключить","ปิด","オフ","Desligado","关","Spento","Mati","Kapali","끔"
"settingsMenu_credits","Credits","Crédits","Créditos","Credits","Credits","Титры","เครดิต","クレジット","Créditos","致谢","Crediti","Kredit","Tanitim","크레디트"
"settingsMenu_privacy","Privacy Policy","Politique de confidentialite","Privacidad","Datenschutzerklärung","Privacybeleid","Условия конфиденциальности","นโยบายความเป็นส่วนตัว","プライバシー方針","Politica de Privacidade","隐私政策","Informativa Sulla Privacy","Kebijakan Privasi","Gizlilik Politikasi","개인정보 보호정책"
"settingsMenu_languageName","English","Français","Español","Deutsche","Nederlands","русский","ภาษาไทย","日本語","Portugues","中文","Italiano","Indonesia","Türk","한국어"
"storeMenu_title","STORE","MAGASIN","TIENDA","SPEICHERN","WINKEL","Магазин","เรื่องราว","ストア","LOJA","商店","NEGOZIO","TOKO","MAGAZA","상점"
"storeMenu_free","FREE","GRATUIT","GRATIS","KOSTENLOS","GRATIS","Бесплатно","ฟรี","無料","GRATUITO","免费","GRATIS","GRATIS","UCRETSIZ","무료"
"storeMenu_server","SERVER","SERVEUR","SERVIDOR","SERVER","SERVER","Сервер","เซิร์ฟเวอร์","サーバー","SERVIDOR","服务器","SERVER","SERVER","SUNUCU","서버"
"game_hint","Hint","Indice","Pista","Hinweis","Hint","Подсказка","คำใบ้","ヒント","Pista","提示","Indizio","Petunjuk","Ipucu","힌트"
"helpMenu_title","Help","Aide","Ayuda","Hilfe","Hulp","Помощь","วิธีการใช้งาน","ヘルプ","Ajuda","帮助","Aiuto","Bantuan","Yardim","도움말"
"helpMenu_subTitle_0","Paths","Chemins","Caminos","Pfade","Paden","Пути","เส้นทาง","道","Caminhos","路径","Cammini","Jalur","Yollar","길"
"helpMenu_subTitle_1","Orange Houses","Maisons Orange","Casitas Anaranjadas","Orange Häuser","Oranje Huizen","Оранжевые дома","บ้านสีส้ม","オレンジハウス","Casas Laranja","橙色房子","Case Arancióne","Rumah Jingga","Turuncu Evler","주황색 집"
"helpMenu_subTitle_2","Blue Houses","Maisons Bleues","Casitas Azules","Blaue Häuser","Blauwe Huizen","Голубые дома","บ้านสีฟ้า","ブルーハウス","Casas Azuis","蓝色房子","Case Blu","Rumah Biru","Mavi Evler","파란색 집"
"helpMenu_subTitle_3","Mystery Petal Found","Pétale Mystérieux Trouvé","Pétalo Misterioso Encontrado","Mystery-Blütenblatt Gefunden","Mysterieus Bloemblad Gevonden","Найден загадочный лепесток","พบกลีบดอกลึกลับ","謎の花びらが見つかりました","Pétala Mistériosa Encontrada","发现神秘花瓣","Petalo Misterioso Trovato","Kelopak Misteri Ditemukan","Gizemli Yaprak Bulundu","신비한 꽃잎을 찾았습니다"
"helpMenu_subTitle_4","Signs","Panneau","Señales","Schilder","Tekens","Знаки","สัญลักษณ์","標識","Placas","标识","Segnali","Rambu","Isaretler","표지판"
"helpMenu_subTitle_5","Ponds","Lagune","Lagunas","Teiche","Vijvers","Пруды","สระ","沼","Lago","池塘","Laghetti","Kolam","Göletler","연못"
"helpMenu_subDescription_0","Drag a path from the <#aaf407>Start Post</color> to the <#aaf407>End Post</color>","Faites glisser un chemin du <#aaf407>poteau d'entrée</color> au <#aaf407>poteau de sortie</color>","Traza un camino desde el <#aaf407>Poste de Entrada</color> hasta el <#aaf407>Poste de Salida</color>","Ziehe einen Pfad vom <#aaf407>Startpfosten</color> zum <#aaf407>Endpfosten</color>","Maak een pad van de <#aaf407>Startpaal</color> naar de <#aaf407>Eindpaal</color>","Проложите путь от <#aaf407>начального пункта</color> к <#aaf407>конечному</color>","ลากเส้นทางจากเสาเริ่ มต้นสู่ <#aaf407>เสาสุดท้าย</color>","スタート位置からゴール位置まで道をドラッグ","Traça um caminho desde o <#aaf407>Sinal de Entrada </color> até o <#aaf407>Sinal de Saída</color>","从起点柱拉一条路径至终点柱","Traccia un cammino dal <#aaf407>Palo di Entrata</color> al <#aaf407>Palo di Uscita</color>","Tarik <#aaf407>jalur</color> dari Pos Mulai ke Pos Akhir","Baslangiç <#aaf407>Noktasindan Bitis</color> <#aaf407>Noktasina bir</color> yol çek","시작 지점에서 끝 지점으로 길을 끌어다 놓으세요"
"helpMenu_subDescription_1","Paths can't use the space above or below <#aaf407>Orange Houses </color>","Les chemins ne peuvent pas être tracés sur le case au-dessus ou au-dessous des <#aaf407>Maisons Orange</color>","El camino no puede pasar por la casilla arriba o abajo de las <#aaf407>Casitas Anaranjadas</color>","In Bereichen über oder unter <#aaf407>Orangefarbenen Häusern</color> können keine Pfade erstellt werden","Paden kunnen niet op plekken boven of onder <#aaf407>Oranje Huizen</color> gemaakt worden","Пути нельзя проложить на пространствах выше или ниже <#aaf407>оранжевых домов</color>","เส้นทางไม่สามารถผ่าน ช่องว่างเหนือหรือใต้ <#aaf407>บ้านสีส้ม</color>","オレンジハウスの上または下に道を作ることはできません","O caminho não pode passar pelas casas acima ou abaixo das <#aaf407>casas laranjas</color>","路径不能通过橙色房子上方或下方区域","Il cammino non può passare per la casella sopra o sotto le <#aaf407>Case Arancioni</color>","Jalur tidak dapat dibuat di ruang di atas atau di bawah <#aaf407>rumah jingga</color>","<#aaf407>Turuncu evlerin</color> altindaki veya üstündeki bosluklara yol yapilamaz","길은 주황색 집 위 또는 아래의 공간에는 만들 수 없습니다"
"helpMenu_subDescription_2","Paths can't use the space left or right of <#aaf407>Blue Houses </color>","Les chemins ne peuvent pas être tracés sur le case à gauche ou à droite des <#aaf407>Maisons Bleues</color>","El camino no puede pasar por la casilla a la izquierda o derecha de las <#aaf407>Casitas Azules</color>","Pfade können nicht in Bereichen links oder rechts von <#aaf407>Blauen Häusern</color> erstellt werden","Paden kunnen niet op plekken links of rechts van <#aaf407>Blauwe Huizen</color> gemaakt worden","Пути нельзя проложить на пространствах слева или справа от <#aaf407>синих домов</color>","เส้นทางไม่สามารถผ่าน ช่องว่างทางด้านซ้าย หรือขวาขอ <#aaf407>งบ้านสีฟ้า</color>","ブルーハウスの左または右に道を作ることはできません","O caminho não pode passar pelas casas à esquerda ou direita das <#aaf407>casas azuis</color>","路径不能通过蓝色房子左边或右边区域","Il cammino non può passare per la casilla alla destra o alla sinistra delle <#aaf407>Case Blu</color>","Jalur tidak dapat dibuat di ruang di atas atau di bawah <#aaf407>rumah biru</color>","<#aaf407>Mavi evlerin</color> sagindaki  veya solundaki bosluklara yol yapilamaz","길은 파란색 집 왼쪽 또는 오른쪽 공간에는 만들 수 없습니다"
"helpMenu_subDescription_3","Collect all 4 <#aaf407>Mystery Petals</color> to complete the <#aaf407>Mystery Flower</color> and earn a special prize<br><br><#aaf407>Mystery Petals</color> won't appear if there is a <#aaf407>mistake</color> with the path","Rassemblez les 4 <#aaf407>Pétales Mystères </color> pour gagner un prix special<br><br>Les <#aaf407>Pétales Mystères</color> n'apparaîtront pas s'il y a une <#aaf407>erreur</color> avec le chemin","Colecciona los 4 <#aaf407>Pétalos  Misteriosos</color> para ganar un premio especial<br><br><#aaf407>Pétalos Misteriosos</color> no aparecerán si cometes un <#aaf407>error</color> en el camino","Sammeln Sie alle 4 <#aaf407>Mystery-Blütenblätter</color>, um einen Sonderpreis zu erhalten<br><br><#aaf407>Geheimnisvolle Blütenblätter</color> erscheinen nicht, wenn ein <#aaf407>Fehler</color> im Pfad vorliegt","Verzamel alle 4 <#aaf407>Mysterieuze Bloembladen</color> om een speciale prijs te winnen<br><br><#aaf407>Mysterious Petals</color> verschijnen niet als er <#aaf407>een fout</color> in het pad is","Соберите все 4 <#aaf407>загадочных лепестка</color>, чтобы получить специальный приз<br><br><#aaf407>Таинственные лепестки</color> не появятся, если на пути будет <#aaf407>ошибка</color>","รวบรวม <#aaf407>กลีบดอกลึกลับ</color> ให้ครบทั้ ง 4 ดอกเพื่ อรับรางวัลพิเศษ<br><br><#aaf407>กลีบลึกลับ</color> จะไม่ปรากฏขึ้นหากมีข้ <#aaf407>อผิดพลาด</color> ระหว่างทาง","枚の謎の花びらをすべて集め<br>て特別プライズをゲットしよう<br><br>途中で<#aaf407>エラー</color>があれば<#aaf407>不思議な花びら</color>は現れません","Recolhe todas as 4 <#aaf407>pétalas mistériosas</color> para ganhar um premio especial<br><br><#aaf407>Pétalas Misteriosas</color> não aparecerão se houver um <#aaf407>erro</color> no caminho","收集一共4片神秘花瓣，赢取特别奖品<br><br>如果途中有错误，<#aaf407>神秘的花瓣</color>将不会出现","Raccogli tutti e 4 i <#aaf407>Petali Misteriosi</color> per vincere un premio speciale<br><br>I <#aaf407>petali Misteriosi</color> non appariranno se c'è un <#aaf407>errore</color> nel percorso","Kumpulkan keempat <#aaf407>kelompak misteri</color> untuk mendapatkan hadiah istimewa<br><br><#aaf407>Kelopak misterius</color> tidak akan muncul jika ada <#aaf407>kesalahan</color> di jalan","Özel bir ödül kazanmak için tüm 4 <#aaf407>gizemli yapragi</color> topla<br><br>Yolda <#aaf407>hatalar</color> varsa <#aaf407>gizemli yapraklar</color> görünmeyecek","신비한 꽃잎 4장을 모두 모아서 특별한 상품을 획득하세요<br><br>경로에 오류가 있으면 신비한 꽃잎이 보이지 않습니다."
"helpMenu_subDescription_4","Recover the <#aaf407>Sign</color> to complete the <#aaf407>End Post</color>","Récupérez le <#aaf407>Panneau</color> pour  le fixer sur le <#aaf407>poteau de sortie</color>","Recobra la <#aaf407>Señal</color> para fijarla al <#aaf407>Poste de Salida</color>","Wiederherstellen des <#aaf407>Schildes</color> zur Vervollständigung des <#aaf407>Endpfostens</color>","Herstel het <#aaf407>Teken</color> om de <#aaf407>Eindpaal</color> te voltooien","Восстановите <#aaf407>знак</color>, чтобы попасть в конечный пункт","กู้ คืน<#aaf407>สัญลักษ</color>ณ์ให้เสร็จสิ้ น","標識を見つけてゴール地点を完成させよう","Recupera o <#aaf407>placa</color> para colocar no sinal de saída","恢复标识，以完成终点柱","Recupera il <#aaf407>Cartello</color> per fissarlo al Palo di Uscita","Pulihkan <#aaf407>rambu</color>  untuk menyelesaikan pos akhir","Bitis noktasini tamamlamak icin <#aaf407>isareti</color> geri al","끝 지점을 마무리하려면 표지판을 복구시키세요"
"helpMenu_subDescription_5","Paths can't use the spaces diagonal to <#aaf407>Ponds</color><br><br>Paths can be built through <#aaf407>Ponds</color>","Les chemins ne peuvent pas être tracés sur les cases diagonales aux <#aaf407>lagunes</color><br><br>Les chemins peuvent être tracés sur les <#aaf407>lagunes</color>","El camino no puede pasar por las casillas diagonales a las <#aaf407>Lagunas</color><br><br>Se pueden construir puentes sobre las <#aaf407>Lagunas</color>","Pfade können nicht auf Flächen diagonal zu <#aaf407>Teichen</color> angelegt werden<br><br>Pfade können durch <#aaf407>Teichen</color> gebaut werden","Paden kunnen niet door plekken schuin tegenover <#aaf407>Vijvers</color> gaan<br><br>Paden kunnen door <#aaf407>Vijvers</color> gaan","Пути нельзя делать на пространстве по диагонали к <#aaf407>прудам</color><br><br>Пути можно проложить через <#aaf407>прудам</color>","เส้นทางไม่สามารถผ่าน ช่องว่างที่ อยู่ ในแนวแทยงจาก <#aaf407>สระ</color><br><br>เส้นทางสามารถสร้างผ่า <#aaf407>สระ</color> ได้","沼の対角線上に道を作 ることはできません<br><br>沼地を通過できます","O caminho não pode passar pelas casas diagonais às <#aaf407>lagos</color><br><br>E possivel passar através de <#aaf407>lagos</color>","路径不能通过池塘对角线区域<br><br>路径可以越过池塘","II cammino non può passare per le casselle diagonale ai <#aaf407>laghetti</color><br><br>II cammino può passare attraverso dei <#aaf407>laghetti</color>","Jalur tidak dapat dibuat di ruang diagonal menuju <#aaf407>kolam</color><br><br>Jalur tidak dapat dibuat melintasi <#aaf407>kolam</color>","<#aaf407>Göletlerin</color> çaprazindaki bosluklara yol yapilamaz<br><br><#aaf407>Göletlerin</color> üzerinden yol yapilabilir","길은 연못에서 대각선에 있는 공간에는 만들 수 없습니다<br><br>연못을 가로질러 만들 수 없습니다"
"resultMenu_Title_0","EXCELLENT!","EXCELLENT!","EXCELENTE!","AUSGEZEICHNET!","UITSTEKEND!","Превосходно!","เยี่ยม!","すばらしい","EXCELENTE!","太棒了!","ECCELLENTE!","MENGESANKAN!","MUKEMMEL!","훌륭해요!"
"resultMenu_Title_1","NICE WORK!","REMARQUABLE!","GENIAL!","GUTE ARBEIT!","MOOI WERK!","Неплохо!","ทำได้ดีมาก!","上出来","MUITO BEM!","漂亮!","BEN FATTO!","BAGUS!","GUZEL IS!","멋져요!"
"resultMenu_Title_2","GOOD JOB!","TRÈS BIEN!","MUY BIEN!","GUT GEMACHT!","GOED WERK!","Поразительно!","ดีมาก!","グッドジョブ","LEGAL!","不错!","BRAVISSIMO!","UPAYA BAGUS!","IYI IS!","잘했어요!"
"resultMenu_Title_3","AMAZING!","SUPER!","INCREIBLE!","ERSTAUNLICH!","FANTASTISCH!","Поразительно!","สุดยอด!","すごい","INCRIVEL!","很不错!","FANTASTICO!","MENAKJUBKAN!","HARIKA!","놀라워요!"
"resultMenu_Title_4","SPECTACULAR!","SPECTACULAIRE!","ESPECTACULAR!","SPEKTAKULAR!","SPECTACULAIR!","Впечатляюще!","น่าประทับใจ!","驚異的","FORMIDAVEL!","精彩!","SPETTACOLARE!","SPEKTAKULER!","MUHTESEM!","굉장해요!"
"resultMenu_Title_5","GREAT JOB!","FORMIDABLE!","ESPECTACULAR!","SPEKTAKULAR!","SPECTACULAIR!","Неплохо!","ยอดเยี่ยม!","すごい","FANTASTICO!","很棒!","FANTASTICO!","SANGAT BAGUS!","MUTHIS IS!","참 잘했어요!"
"resultMenu_complete","Complete","Terminé","Terminado","Vollstandig","Voltooid","Завершено","เสร็จสิ้น","完成","Completo","完成","Finito","Selesai","Tamamla","완료"
"resultMenu_level","Level","Niveau","Nivel","Level","Level","уровень","ชั้น","レベル","Nivel","水平","Livello","Level","Seviye","수평"
"resultsMenu_spinAgain","watch ad to spin again","Regardez une annonce pour gagner plus d'or","Mira una propaganda y gana más monedas","Schauen Sie sich die Anzeige für mehr Gold an","Bekijk de advertentie voor meer goud","просмотреть объявление, чтобы получить больше золота","ดูโฆษณาเพื่อรับทองคำมากขึ้น","広告を見て、より多くの金を獲得してください","Assista a propaganda e ganhe mais ouro","观看广告并获得更多金币","Guarda l'annuncio e ottieni più monete","Tonton iklan dan dapatkan lebih banyak koin","Reklami izleyin ve daha fazla para kazanin","광고를보고 더 많은 금을 얻으십시오"
"resultsMenu_spinAgainButton","Spin the Wheel!","Tourne la Roue!","¡Gira la ruleta!","Drehe das Rad!","Draai het Wiel!","Крути колесо!","หมุนวงล้อ!","ホイールを回して！","Gire a Roda!","旋转车轮！","Gira la Ruota!","Putar Roda!","Tekerlegi Döndür!","바퀴를 돌리다!"
"resultsMenu_alreadyCompleted","Level Already Completed","Niveau Déjà Terminé","Nivel Ya Completado","Level bereits abgeschlossen","Level al voltooid","Уровень уже завершен","จบเลเวลแล้ว","すでにレベルを達成しています","Nível Concluido","关卡已完成","Livello già completato","Level Sudah Diselesaikan","Seviye Zaten Tamamlanmis","이미 레벨을 완료했습니다"
"secretReveal_tap","Tap to continue","Appuyez sur l'écran pour continuer","Toca la pantalla para continuar","Tippen, um fortzufahren","Tik om door te gaan","Нажмите, чтобы продолжить","แตะเพื่อดำเนินการต่อไป","タップして続ける","Clique para continuar","点击以继续","Tocca per continuare","Ketuk untuk melanjutkan","Devam etmek için dokun","계속하려면 탭하세요"
"secretReveal_title","Mystery Flower","Fleur Mystérieuse","Flor Misteriosa","Mystery-Blume","Mysterieuze Bloem","Загадочный цветок","ดอกไม้ลึกลับ","謎の花","Flor Mistériosa","神秘花朵","Fiore Misterioso","Bunga Misteri","Gizemli Çiçek","신비한 꽃"
"secretReveal_subDescription","+15 Free Gold in Store","+15 Or Gratuit en Magasin","+15 Monedas Gratis en La Tienda","+15 Gold Kostenlos im Shop","+15 Gratis Goud in de Winkel","+15 бесплатных единиц золота в магазине","+15 ทองคำฟรีในร้าน","ストアに無料のゴールドが+20枚","+15 moeidas de brindes na Loja","商店中有20单位免费金子","+15 D’oro Gratis Nel Negozio","+15 Emas Gratis di Toko","+15 Bedava Altin Magazada","상점에서 15 무료 골드"
"profileMenu_myProfile","My Profile","Mon Profil","Mi Perfil","Mein Profil","Mijn Profiel","Мой профиль","ประวัติของฉัน","私のプロフィール","Meu Perfil","我的简历","Il Mio Profilo","Profil Saya","Benim Profilim","내 프로필"
"profileMenu_create","Create","Créer","Crear","Erstellen","Creëer","Создайте","สร้าง","作成する","Crio","创建","Crea","Membuat","Olusturmak","창조하다"
"profileMenu_recover","Recover","Récupérer","Recuperar","Genesen","Herstellen","оправляться","กู้","回復します","Recupera","恢复","Recuperare","Memulihkan","Kurtarmak","다시 덮다"
"profileMenu_username","Username","Nom d'utilisateur","Nombre de usuario","Nutzername","Gebruikersnaam","имя пользователя","ชื่อผู้ใช้","ユーザー名","Nome do usuário","用户名","Nome utente","Nama pengguna","Kullanici adi","사용자 이름"
"profileMenu_email","Email","Email","Email","Email","Email","электронное письмо","อีเมล","Eメール","Email","电子邮件","Email","Surel","E-posta","이메일"
"profileMenu_password","Password","Mot de passe","Contraseña","Passwort","Wachtwoord","пароль","รหัสผ่าน","パスワード","Senha","密码","Parola d'ordine","Kata sandi","Parola","암호"
"profileMenu_recoverProfile","Recover Profile","Récupérer le Profil","Recuperar Perfil","Profil Wiederherstellen","Profiel Herstellen","Восстановить профиль","กู้คืนโปรไฟล์","プロファイルを復元","Recuperar Perfil","恢复个人资料","Recupera Profilo","Pulihkan Profil","Profili Kurtar","프로필 복구"
"themesMenu_title","THEMES","THÈMES","TEMAS","THEMEN","THEMAS","ТЕМЫ","ธีม","テーマ","TEMAS","主题","TEMI","TEMA","TEMALAR","테마"
"themesMenu_equip","Select","Sélectionner","Seleccione","Wählen","Selecteer","Выбрать","เลือก","選択する","Selecione","选择","Selezionare","Pilih","Seçmek","고르다"
"themesMenu_equipped","Selected","Choisi","Elegido","Gewählt","Gekozen","Избранный","ได้รับการแต่งตั้ง","選ばれた","Escolhido","选择","Scelto","Terpilih","Seçilmis","선택된"
"resultsMenu_rateMe","Rate Us!","Évaluez nous!","¡Nos califica!","Bewerten Sie uns!","Beoordeel ons!","Оцените нас!","ให้คะแนนเรา!","評価してください！","Nos avalie!","评价我们！","Valutaci!","Beri nilai kami!","Bizi degerlendirin!","우리를 평가하십시오!"